,Sales Package,Model Number,Part Number,Series,Color,Type,Suitable For,Battery Backup,Power Supply,Battery Cell,MS Office Provided,Dedicated Graphic Memory Type,Dedicated Graphic Memory Capacity,Processor Brand,Processor Name,Processor Generation,SSD,SSD Capacity,RAM,RAM Type,HDD Capacity,Processor Variant,Chipset,Memory Slots,Expandable Memory,RPM,Graphic Processor,OS Architecture,Operating System,System Architecture,Mic In,RJ45,USB Port,HDMI Port,Hardware Interface,Touchscreen,Screen Size,Screen Resolution,Screen Type,Speakers,Internal Mic,Sound Properties,Refresh Rate,Wireless LAN,Bluetooth,Ethernet,Dimensions,Weight,Disk Drive,Web Camera,Finger Print Sensor,Keyboard,Backlit Keyboard,Pointer Device,Included Software,Additional Features,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Model Name,Clock Speed,RAM Frequency,Cache,Number of Cores,Multi Card Slot,Sound Chip,Domestic Warranty,Lock Port,Other Accessories,VGA Port,International Warranty,Security Chip,MRP Price,Discount,Discounted_price,Antivirus,Laptop Bag,Optane Memory,Dock Port,RJ11,Read/Write Speed,Stylus Included,Supported Operating System,Wireless WAN,Recovery Options,Face Recognition,NFC Support,EMMC Storage Capacity,Inbuilt 4G LTE,S-video,Firewire Port,Brand
156,"Laptop, Power Adaptor, User Guide, Warranty Documents",IdeaPad Gaming 3 15ARH05,82EY00U7IN,Ideapad Gaming 3,Onyx Black,Gaming Laptop,"Gaming, Processing & Multitasking",Upto 6.7 Hours,135 W Adapter,,No,GDDR6,4 GB,AMD,Ryzen 5 Hexa Core,,No,,8 GB,DDR4,1 TB,4600H,AMD SoC Platform,2 Slots,16,5400,NVIDIA GeForce GTX 1650,64 bit,Windows 10 Home,64,Yes,Yes,"1 x USB-C 3.2 (Gen 1), 2 x USB 3.2 (Gen 1)",1 x HDMI Port (v2.0),,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD LED Backlit, Anti-Glare IPS Display (250 nits Brightness, 60Hz Refresh Rate, 3-Sided Narrow Bezel)",Built-In Dual Stereo Speakers,Built-In Dual Array Microphone,2 x 1.5 W Stereo Speakers with Dolby Audio,60 Hz,11ac (2x2),v5.0,100/1000 MBPS,359 x 249.6 x 24.9,2.2 KG,Not Available,720p HD Webcam with Privacy Shutter,No,Blue LED Backlit Keyboard with Larger Arrow Keys,Yes,Trackpad with Windows Precision Driver,Microsoft Office (Trial Only),45 Wh Battery,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,3.0 GHz with Turbo Boost upto 4.0 GHz,3200 MHz,11,6,NA,High Definition (HD) Audio,1 Year,,,No,,,"54,990",No-discount,"54,990",NA,No,,,,,,,,,,,,,,,HP
157,"Laptop, Power Adaptor, User Guide, Warranty Documents",Latitude 3400,L56060WIN10P,Latitude 3400,Black,Laptop,Processing & Multitasking,Upto 10 hours,,3 cell,No,,,Intel,Core i5,8th Gen,No,,8 GB,DDR4,1 TB,NA,,2 Slots,Upto 16 GB,5400,Intel Integrated UHD,64 bit,Windows 10 Pro,64 bit,Yes,,"2 x USB 3.1, 1 x USB 2.0",1 x HDMI Port (v1.4b),,No,35.56 cm (14 inch),1366 x 768 Pixel,HD LED Backlit Anti-glare Display,Built-in Dual Speakers,Built-in Microphones,Waves Maxx Audio,,IEEE 802.11ac (2x2),v5.0,,380 x 258 x 20 mm,1.67 kg,Not Available,HD Webcam,No,English International Non Backlit Keyboard,No,Touchpad,NA,Li-ion Battery,"3 Years Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail",Onsite,Manufacturing Defects,Physical Damage,,NA,2666 MHz,4 MB,2,"3-in-1 Card Reader (SD, SDHC, SDXC)",,3 Year,,,,,,"44,990",No-discount,"44,990",McAfee Multi Device Security 15 Months Subscription,,,,,,,,,,,,,,,,ASUS
158,"Laptop, Battery, Power Adapter, User Guide",GF65 Thin 10UE-290IN,9S7-16W212-290,GF65 Thin,Carbon Gray,Gaming Laptop,"Gaming, Processing & Multitasking",,180W Adapter,3,No,GDDR6,6 GB,Intel,Hexa Core i5,10th Gen,Yes,512 GB,16 GB,DDR4,,10500H,,,,,NVIDIA GeForce RTX 3060,64 bit,Windows 10 Home,64,,Yes,"2x Type-C USB3.2 (Gen1), 2x Type-A USB3.2 (Gen1)",1 x HDMI Port,NVMe PCIe,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD LED Backlit IPS Display (144Hz Refresh Rate, 45%NTSC Color Gamut)",Built in Dual Speakers,Built-in Microphones,2x 2W Stereo Speakers,144 Hz,Intel Wi-Fi 6 AX201(2*2 ax),v5.1,Yes,359 x 254 x 21.7,1.86 KG,Not Available,720p HD Webcam (30fps@720p),,Single Backlit Keyboard (Red),Yes,Touchpad,"Silver-Lining Print, Cooler Boost, Audio Boost, Dragon Center, Nahimic 3","3-Cell, 51 Whr Battery",2 Year Warranty Term for Gaming & Content Creation (EU-WE),Carry-In Warranty,Part Failure,"Physical Damage, Burn, Liquid Spill",GF65 Thin 10UE-290IN,2.5 GHz with Turbo Boost upto 4.5 GHz,,12,6,,Realtek ALC 233,,,,,,,"38,990",No-discount,"38,990",,,,,,,,,,,,,,,,,APPLE
159,"Laptop, Battery, Power Adapter, User Guide",GP65 Leopard 10SEK-830IN,9S7-16U711-830,GP65 Leopard,Black,Gaming Laptop,"Gaming, Processing & Multitasking",,230 W AC Adapter,6 cell,No,GDDR6,6 GB,Intel,Core i7,10th Gen,Yes,256 GB,16 GB,DDR4,1 TB,10750H,,,,,NVIDIA GeForce RTX 2060,64 bit,Windows 10 Home,64,Yes,Yes,"1 x Type-C USB 3.2 (Gen 2), 3 x Type-A USB 3.2 (Gen1)",1 x HDMI (4K at 30Hz),PCIe NVMe,No,39.62 cm (15.6 inch),1920 x 1080 Pixels,"Full HD IPS Thin Bezel Display (45% NTSC Color Gamut, 144Hz Refresh Rate)",Built-in Dual Speakers,Built-in Microphones,2 x 3 W Speakers,144 Hz,Intel Wi-Fi 6 AX201 (2x2 ax),v5.1,,357.7 x 248 x 27.5,2.33 kg,Not Available,HD Type Webcam (720p at 30fps),,Per Key RGB Steelseries Keyboard,Yes,,"SHIFT, SteelSeries Engine 3, Matrix Display (Extend), Dragon Center, GamingMode, VR Ready, Cooler Boost 5, Nahimic 3, Nahimic VR, Giant Speaker",51 WHr Battery,2 Year Warranty Term for Gaming,Carry-In Warranty,Part Failure,"Physical Damage, Burn, Liquid Spill",GP65 Leopard 10SEK-830IN,2.6 GHz with Turbo Boost Upto 5 GHz,,,,1 x SD (XC/HC) Card Reader,Realtek ALC 233,,,,,,,"50,990",No-discount,"50,990",,,,,,,,,,,,,,,,,MSI
160,"Laptop, Power Adaptor, User Guide",K513EA-BQ563TS,90NB0SG2-M05750,Ultra K15,Transparent Silver,Thin and Light Laptop,Processing & Multitasking,,65W AC Adapter,3 Cell,Yes,,,Intel,Core i5,11th Gen,Yes,256 GB,8 GB,DDR4,1 TB,1135G7,NA,,,5400,Intel Integrated Iris Xe,64 bit,Windows 10 Home,64,Yes,,"1 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 2.0 Type-A",1 x HDMI 1.4,PCIe NVMe,No,39.62 cm (15.6 inch),1920 x 1080 Pixels,"Full HD LED Backlit Anti-glare Display (250 nits Brightness, 16:9, 45% NTSC Color Gamut, 85% Screen-to-body Ratio, IPS-level Panel)",Built-in Speaker,Built-in Microphone,"Audio by ICEpower, Harman/Kardon (Mainstream)",,Wi-Fi 6(802.11ax) Dual band (2*2),v5.0,,359 x 235 x 17.9,1.80 Kg,Not Available,720p HD Webcam,Yes,Backlit Chiclet Keyboard with Num-key,Yes,Touchpad,"Microsoft Office Home and Student 2019, Splendid (All Models), Tru2Life (Intel Platform Models), Link to MyASUS (All Models, Bluetooth Needed)","Cortana Support, ø4.0, 65W AC Adapter, Output: 19V DC, 3.42A, 65W, Input: 100~240V AC 50/60Hz Universal, 42WHrs, 3S1P, 3-cell Li-ion, BIOS Booting User Password Protection",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,2.4 GHz with Turbo Boost Upto 4.2 GHz,,8,4,2 x Micro SD Card Reader,,1 Year,,,,,Trusted Platform Module (Firmware TPM),"92,900",No-discount,"92,900",,,,,,,,,,,,,,,,,Lenovo
161,"Laptop, Power Adaptor, User Guide, Warranty Documents",14ITL05,82FE00K0IN,Ideapad Slim 5i,Graphite Grey,Thin and Light Laptop,Processing & Multitasking,Upto 11 hours,65 W AC Adapter,,Yes,,,Intel,Core i5,11th Gen,Yes,512 GB,8 GB,DDR4,,1135G7,Intel SoC,,,5400,Intel Integrated Iris Xe,64 bit,Windows 10 Home,64 bit,Yes,,"2 x USB 3.2 (1st Gen) (One Always On), 1 x USB 3.2 TypeC (1st Gen) (with the Function of PD 3.0 and DP 1.4)",1 x HDMI Port (v1.4b),SATA,No,35.56 cm (14 inch),1920 x 1080 Pixel,"Full HD LED Backlit Anti-glare IPS Display (300 nits Brightness, 45% NTSC Color Gamut)",Built-in Dual Speakers,Built-in Dual Array Microphone,2 x 2 W Stereo Speakers with Dolby Audio,,IEEE 802.11ax (2x2),v5.1,,356.67 x 233.13 x 16.9 mm,1.66 kg,Not Available,"720p HD Webcam (with Privacy Shutter, Fixed Focus)",Yes,English Backlit Keyboard,Yes,Touchpad,Microsoft Office Home and Student 2019,57 WHr Li-Polymer Battery,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,IdeaPad Slim 5,2.4 GHz with Turbo Boost Upto 4.2 GHz,3200 MHz,8 MB,4,"4-in-1 Media Reader (MMC, SD, SDHC, SDXC)",,1 Year,,,,,TPM 2.0,"42,490",No-discount,"42,490",,,,,,,,,,,,,,,,,ASUS
162,"Laptop, Battery, Adapter, Cables and User Manuals",Inspiron 5418,D560454WIN9S,Inspiron,Silver,Notebook,Processing & Multitasking,Upto 6 hours,,4 cell,Yes,,,Intel,Core i5,11th Gen,Yes,512 GB,8 GB,DDR4,,11300H,,2,32,,Intel Integrated Iris Xe,64 bit,Windows 10,64,Yes,No,"2 x USB 3.2 Type A,1 x USB 3.2 Type C",1 x HDMI Port (v1.4),M.2 SATA,No,35.56 cm (14 inches),1920 x 1080 Pixels,Full HD WVA Anti-Glare Display,Yes,Yes,Waves Maxx Audio Pro,,Intel Wi-Fi 6 (2x2) (Gig+),v5.1,Not Available,214 x 321 x 18,1.5 kg,Not Available,HD Webcam,Yes,English International Backlit Keyboard,Yes,Touchpad,,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Accidental Damage,,2.6 GHz upto Max Turbo Frequency at 4.4 GHz,3200 MHz,8,4,1 x Micro SD Card Reader,,1 Year,Kensington Lock Port,,,,,"49,990",No-discount,"49,990",McAfee,No,,,,,,,,,,,,,,,HP
163,"Laptop, Power Adaptor, User Guide, Warranty Documents",M515DA-BQ502TS,90NB0T42-M04440,,Transparent Silver,Thin and Light Laptop,Processing & Multitasking,,45 W AC Adapter,2 cell,Yes,,,AMD,Ryzen 5 Quad Core,,No,,8 GB,DDR4,1 TB,3500U,,,,5400,AMD Radeon Vega 8,64 bit,Windows 10 Home,64,Yes,,"1 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 2.0 Type-A",1 x HDMI (1.4),SATA,No,39.62 cm (15.6 inch),1920 x 1080 pixel,Full HD LCD Anti-Glare Display,,Built-in Microphones,"SonicMaster, Cortana Support",,,v4.2,,36.00 x 23.50 x 1.99,1.80 kg,Not Available,VGA Webcam (Without Privacy Shutter),Yes,Chiclet Keyboard with Numeric Keypad,,Touchpad,"Office Home and Student 2019, MyASUS, Link to MyASUS, Splendid, Tru2Life","37 Whrs Li-ion Battery, BIOS Booting User Password Protection, Trusted Platform Module (Firmware TPM), Fingerprint Sensor Intergrated with Touchpad, AppDeals, Battery Health, Keyboard Hotkeys",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,2.1 GHz with Turbo Frequency Upto 3.7 GHz,,4,4,1 x Micro SD Card Reader,,,Security Lock,,Yes,,,"56,990",No-discount,"56,990",,,,,,,,,,,,,,,,,HP
164,"Laptop, Power Adaptor, User Guide, Warranty Documents",A715-75G-50TA/ A715-75G-41G,NH.Q97SI.001,Aspire 7,Black,Gaming Laptop,Processing & Multitasking,Upto 9 Hours,3-pin 135 W AC Adapter,3 Cell,No,GDDR6,4 GB,Intel,Core i5,10th Gen,Yes,512 GB,8 GB,DDR4,,,,,32,,NVIDIA GeForce GTX 1650,64 bit,Windows 10 Home,64,Yes,Yes,"1 x USB Type-C Port, 2 x USB 3.2 Gen 1 Ports, 1 x USB 2.0 Port",1 x HDMI Port,PCIe NVMe,No,39.62 cm (15.6 inch),1920 x 1080 Pixels,"Full HD Acer ComfyView LED Backlit TFT LCD Anti-glare Display (45% NTSC Color Gamut, Wide Viewing Angle up to 170 Degrees, Ultra-Slim Design, 16:9 Aspect Ratio, IPS Level Panel, Mercury Free, Environment Friendly)",Built-in Dual Stereo Speakers,Built-in Dual Microphones,,,Intel Wireless-Wi-Fi 6 AX200 802.11a/b/g/n/acR2+ax,v5.0,Gigabit,363.4 x 254.5 x 20.9,2.15 Kg,Not Available,720p HD Webcam (1280 x 720 Resolution),No,FineTip Backlit Keyboard with Independent Standard Numeric Keypad ( International Language Support and Power Button),Yes,"Multi-gesture Touchpad, Supporting Two-finger Scroll; Pinch; Gestures to Open Cortana, Action Center, Multitasking; Application Commands","Quick Access, Acer Care Center, Acer Product Registration, Acer Collection",,1 Year International Travelers Warranty,Onsite,Manufacturing Defects,Physical Damage,,2.4 GHz with Turbo Boost Upto 5 GHz,,,,,,1 Year,Kensington Lock Slot,,,1 Year,,"56,990",No-discount,"56,990",,,,,,,,,,,,,,,,,MSI
165,"Laptop, Power Adaptor, User Guide, Warranty Documents",ideapad 5 15itl05db,82FG00BPIN,Ideapad Slim 5i,Graphite Grey,Thin and Light Laptop,Processing & Multitasking,Upto 11 hours,65 W AC Adapter,,Yes,GDDR5,2 GB,Intel,Core i5,11th Gen,Yes,256 GB,8 GB,DDR4,1 TB,1135G7,Intel SoC,,,5400,NVIDIA GeForce MX450,64 bit,Windows 10 Home,64 bit,Yes,,"2 x USB 3.2 (1st Gen) (One Always On), 1 x USB 3.2 TypeC (1st Gen) (with the Function of PD 3.0 and DP 1.4)",1 x HDMI Port (v1.4b),SATA,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD LED Backlit Anti-glare IPS Display (300 nits Brightness, 45% NTSC Color Gamut)",Built-in Dual Speakers,Built-in Dual Array Microphone,2 x 2 W Stereo Speakers with Dolby Audio,,IEEE 802.11ax (2x2),v5.1,,356.67 x 233.13 x 16.9 mm,1.66 kg,Not Available,"720p HD Webcam (with Privacy Shutter, Fixed Focus)",Yes,English Backlit Keyboard,Yes,Touchpad,Microsoft Office Home and Student 2019,57 WHr Li-Polymer Battery,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,2.4 GHz with Turbo Boost Upto 4.2 GHz,3200 MHz,8 MB,4,"4-in-1 Media Reader (MMC, SD, SDHC, SDXC)",,1 Year,,,,,TPM 2.0,"57,990",No-discount,"57,990",,,,,,,,,,,,,,,,,Mi
166,"Laptop, Power Adaptor, User Guide, Warranty Documents",15ITL6,82H800RFIN,IdeaPad,Arctic Grey,Thin and Light Laptop,Processing & Multitasking,Upto 7.5 hours,65 W Adapter,,Yes,,,Intel,Core i5,11th Gen,Yes,512 GB,8 GB,DDR4,,1135G7,Intel SoC Platform,1 Slot,,,Intel Integrated Iris Xe,64 bit,Windows 10 Home,64 bit,Yes,No,"1 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (support data transfer only), 1 x USB 2.0",1 x HDMI Port (v1.4b),PCIe NVMe M.2,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD LED Backlit, Anti-Glare Display (250 nits Brightness)",Built-in Dual Stereo Speakers,Built-in Dual Array Microphones,2 x 1.5 W Stereo Speakers with Dolby Audio,,11ac (2x2),v5.0,,359.2 x 236.5 x 19.9 mm,1.65 kg,Not Available,720p Webcam With�Privacy�Shutter,No,Standard English Keyboard,No,Touchpad,Microsoft Office Home and Student 2019,"45 Wh Battery, ErP Lot 3, RoHS compliant",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,2.4 GHz with Turbo Boost Upto 4.2 Ghz,3200 MHz,8 MB,4,4 in 1 Card Reader,"High Definition (HD) Audio, Realtek ALC3287 Codec",1 Year,,,,,Firmware TPM 2.0,"76,990",No-discount,"76,990",,,,,,,,,,,,,,,,,HP
167,"Laptop, Power Adaptor, User Guide, Warranty Documents",M413IA-EK582T,90NB0QR7-M08930 | 90NB0QR7-M15970,VivoBook 14,Bespoke Black,Thin and Light Laptop,Processing & Multitasking,,45 W AC Adapter,3 cell,No,,,AMD,Ryzen 5 Hexa Core,,Yes,512 GB,8 GB,DDR4,,4500U,,,,,AMD Radeon R3,64 bit,Windows 10 Home,64 bit,Yes,,"1 x USB3.1 Type C (1st Gen), 1 x USB 3.1 Type A (1st Gen), 2 x USB 2.0",1 x HDMI Port (v1.4),,No,35.56 cm (14 inch),1920 x 1080 Pixel,"Full HD LED Backlit Anti-glare Display (200 nits Brightness, 45% NTSC, 85% Screen-to-body Ratio)",Built-in Speaker,Built-in Microphone,Audio by ICEpower,,IEEE 802.11ax (Wi-Fi 6),v5.0,,324 x 215 x 19.1 mm,1.4 kg,Not Available,HD 720P Webcam (without Privacy Shutter),Yes,Backlit Chiclet Keyboard,Yes,Touchpad,"My Asus, Splendid",42 WHr Li-ion Battery,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,2.3 GHz with Turbo Boost Upto 4 GHz,3200 MHz,11 MB,6,Micro SD Card Reader,,1 Year,,,,,TPM,"39,490",No-discount,"39,490",,,,,,,,,,,,,,,,,MSI
168,"2 in 1 Laptop, Power Adaptor, User Guide, Warranty Documents",14-dw1038TU,2R2H5PA#ACJ,Pavilion x360,Natural Silver,2 in 1 Laptop,Processing & Multitasking,,,3 cell,Yes,,,Intel,Core i5,11th Gen,Yes,512 GB,8 GB,DDR4,,1135G7,,2 Slots,Upto 16 GB,,Intel Integrated Iris Xe,64 bit,Windows 10 Home,64 bit,Yes,,"1 x SuperSpeed USB Type C (10 Gbps Signaling Rate (USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge)), 2 x SuperSpeed USB Type A (5 Gbps Signaling Rate)",1 x HDMI Port (v2.0),PCIe NVMe M.2,Yes,35.56 cm (14 inch),1920 x 1080 Pixel,"Full HD WLED Backlit IPS Multi-touch Display (250 nits Brightness, 45% NTSC Color Gamut, 157 PPI, 82.47% Screen to Body Ratio)",Built-in Dual Speakers,Integrated Dual Array Digital Microphone,"Audio by Bang & Olufsen, HP Audio Boost, Built in Alexa Support",,Intel Wi-Fi 6 AX 201 (2x2),v5.0,,324 x 221 x 18 mm,1.61 kg,Not Available,HP Wide Vision 720p HD Webcam,Yes,Full-size Backlit Natural Silver Keyboard,Yes,HP Imagepad with Multi-touch Gesture Support,"HP Audio Switch, HP ePrint, Dropbox, HP Connection Optimizer, HP Support Assistant, HP Recovery Manager, HP Documentation, HP System Event Utility, HP Jumpstart, Microsoft Office Home and Student 2019","43 WHr Li-ion Battery, MU-MIMO Supported, Miracast Compatible",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,4.20 GHz Max Turbo Frequency,3200 MHz,8 MB,4,"3-in-1 Card Reader (SD, SDHC, SDXC)",,1 Year,,,,,,"1,49,999",22%,"1,16,990",,,,,,,,,,,,,,,,,acer
169,"Laptop, Power Adaptor, User Guide, Warranty Documents",PH315-53-753W,NH.QCZSI.003,Predator,Black,Gaming Laptop,"Gaming, Processing & Multitasking",Upto 7 Hours,230 W AC Adapter,4,No,GDDR6,8 GB,Intel,Core i7,10th Gen,Yes,1 TB,16 GB,DDR4,,10870H,Mobile Intel HM470 PCH Chipset,,,5400,NVIDIA GeForce RTX 3070,64 bit,Windows 10 Home,64,Yes,Yes,"1 x USB 3.2 Type C (Gen 2), 2 x USB 3.2 (Gen 1), 1 x USB 3.2 (Gen 2 with Power-Off Charging)",1 x HDMI,NVMe PCIe,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD LED Backlit TFT LCD,IPS Display (300 nits Brightness,100% sRGB, 240 Hz Refresh Rate, 16:9 Aspect Ratio)",Built-in Speakers,Built-in Microphones,"DTS X:Ultra Audio, Featuring Optimized Bass, Loudness with upto 6 custom content modes by Smart Amplifier",240 Hz,Wi-Fi 6 AX1650i (802.11 a/b/g/n/ac),v5.1,Killer Ethernet E2600,363.4 x 255 x 22.9,2.2 KG,Not Available,720p HD Webcam with Super High Dynamic Range Imaging (SHDR),,FineTip RGB-backlit keyboard with Independent Standard Numeric Keypad with International Language Support,Yes,Multi-Gesture Touchpad,"Acer Care Center, Acer Product Registration, Alexa Built in","59 WHr Li-ion 4 Cell Battery, MU-MIMO Supported",1 Year International Travelers Warranty (ITW),Carry In,Manufacturing Defects,Physical Damage,Helios 300,,2933 MHz,,6,,,,Kensington lock slot,,,1 Year,,"1,45,990",24%,"1,09,990",,,,,,,,,,,,,,,,,MSI
170,"Laptop, Power Adaptor",G5 5500,D560263WIN9B,GAMING G5 SERIES,Black,Gaming Laptop,"Gaming, Performance, Processing & Multitasking, Entertainment",UPTO 5 HOURS,,,Yes,GDDR5,4 GB,Intel,Core i5,10th Gen,Yes,512 GB,8 GB,DDR4,,,,,,,NVIDIA GeForce GTX 1650Ti,64 bit,Windows 10,,,,YES,YES,,No,39.62 cm (15.6 inch),1920 X 1080$$Pixels pixel,,,,,120 Hz,YES,YES,,,2.3 kg,Not Available,YES,Yes,,Yes,,Windows Office,,12 MONTHS,Manufacturing Defects,Manufacturing Defects,Physical Damage,Inspiron,,,8,4,YES,,12 Months,,,,,,"34,500",8% ,"31,490",YES,No,,,,,,WINDOWS10,YES,One Button,,,,,,,HP
171,"Laptop, Power Adaptor, User Guide, Warranty Documents",PH315-53,NH.QCYSI.008,Predator Helios 300,Black,Gaming Laptop,"Gaming, Processing & Multitasking",Upto 7 hours,230 W AC Adapter,4 cell,No,GDDR6,6 GB,Intel,Octa Core i7,10th Gen,Yes,256 GB,16 GB,DDR4,1 TB,10870H,Mobile Intel HM470 PCH Chipset,2 slots,Upto 32 GB,7200,NVIDIA GeForce RTX 3060,64 bit,Windows 10 Home,64,Yes,Yes,"1 x USB Type-C Port (USB 3.2 Gen 2), 1 x USB 3.2 Gen 2 Port with Power-Off Charging, 2 x USB 3.2 Gen 1 Ports",1 x HDMI,PCIe NVMe,No,39.62 cm (15.6 inch),1920 x 1080 Pixels,"Full HD LED Backlit IPS ComfyView Display (300 nits Brightness, 72% NTSC Color Gamut)",Built-in Speakers,Built-in Dual Microphones,"DTS X : Ultra Audio, Featuring Optimized Bass, Loudness, Speaker Protection with up to 6 Custom Content Modes by Smart Amplifier, Supported in Windows Spatial Sound for PC Gaming with DTS License Integrated, Immersive Audio Rendering Over Headphones and Internal Speakers, Acer Purified Voice Technology with Dual Built-in Microphones. Features Include Far-Field Pickup, Keystroke Suppression, Adaptive Beam Forming, and Pre-Defined Personal and Conference Call Modes, Compatible with Cortana with Voice, Acer TrueHarmony Technology for Lower Distortion, Wider Frequency Range, Headphone-Like Audio and Powerful Sound",144 Hz,Killer Wi-Fi 6 AX1650i,v5.1,"Killer Ethernet E2600, 10/100/1000 Mbps",363.4 x 255 x 22.9,2.3 kg,Not Available,720p HD Webcam,No,FineTip RGB-backlit Keyboard with Independent Standard Numeric Keypad (International Language Support),Yes,Multi-Gesture Touchpad,"PredatorSense, Acer Care Center, Planet9, Acer Product Registration, Quick Access","59 WHr Li-ion Battery, BIOS User, Supervisor Passwords",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,,,,,,,,,,,,,"44,908",2% ,"43,990",,,,,,,,,,,,,,,,,HP
172,"Laptop, Active Pen, Battery, Adapter, Cables and User Manuals",Inspiron 5410,D560466WIN9S,Inspiron,Silver,2 in 1 Laptop,Processing & Multitasking,Upto 6 hours,,3 cell,Yes,,,Intel,Core i3,11th Gen,Yes,512 GB,8 GB,DDR4,,1125G4,,2,16,,Intel Integrated UHD,64 bit,Windows 10,64,Yes,No,"2 x USB 3.2 Type A, 1 x USB 3.2 Type C",1 x HDMI Port (v1.4),M.2 SATA,Yes,35.56 cm (14 inches),1920 x 1080 Pixels,Full HD WVA Touch Display with Active Pen,Yes,Yes,Waves Maxx Audio Pro,,Intel Wi-Fi 6 (2x2) (Gig+),v5.0,Not Available,321 x 211 x 18,1.56 kg,Not Available,HD Webcam,Yes,Backlit Keyboard,Yes,Touchpad and Active Pen,,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Accidental Damage,,1.7 GHz upto Max Turbo Frequency at 4.1 GHz,3200 MHz,8,2,1 x SD-Card Slot,,1 Year,Kensington Lock Port,,,,,"45,892",9% ,"41,490",McAfee,No,,,,,,,,,,,,,,,HP
173,"Laptop, Power Adaptor, User Guide, Warranty Documents",15-ec0100AX,169P5PA#ACJ,Pavilion Gaming,Shadow Black,Gaming Laptop,"Processing & Multitasking, Gaming",,,3 cell,No,GDDR5,4 GB,AMD,Ryzen 5 Quad Core,,No,,8 GB,DDR4,1 TB,3550H,,,Upto 16 GB,5400,NVIDIA GeForce GTX 1650,64 bit,Windows 10 Home,64 bit,Yes,Yes,"1 x USB 3.1 (1st Gen) Type C (5 Gbps Signaling Rate, Data Transfer Only), 1 x USB 3.1 (1st Gen) Type A (5 Gbps Signaling Rate, Data Transfer Only), 1 x USB 2.0 Type A (HP Sleep and Charge)",1 x HDMI Port (v2.0),SATA,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD WLED Backlit Anti-glare IPS Micro-edge Display (250 nits Brightness, 45% NTSC Color Gamut, 141 ppi)",Built-in Dual Speakers,Integrated Dual Array Digital Microphone,Audio by Bang & Olufsen,,Realtek Wi-Fi 5 (2x2),v5.0,Integrated 10/100/1000 Gigabit LAN,360 x 257 x 23.5 mm,2.04 kg,Not Available,HP TrueVision HD Webcam,,Full-size Island-style Ghost White Backlit Keyboard with Numeric Keypad,Yes,HP Imagepad with Multi-touch Gesture Support (Precision Touchpad Support),"HP Documentation, HP e-service, HP BIOS Recovery, HP Smart, HP Jumpstarts, HP Audio Switch, HP Audio Boost, HP Support Assistant, HP SSRM, Dropbox","52.5 WHr Li-ion Polymer Battery with Fast Charge Support, MU-MIMO Supported, Miracast Compatible",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,2.1 GHz with Turbo Boost Upto 3.7 GHz,2400 MHz,6 MB,4,"3-in-1 Card Reader (SD, SDHC, SDXC)",,1 Year,,,,,,"28,420",3% ,"27,490",,,,,,,,,,,,,,,,,HP
