Model Number,Model Name,Color,Connectivity,OS,Operating System Version,RAM,Voice Call,Display Size,Sales Package,Display Resolution,Primary Camera,Internal Storage,Processor Speed,Sim Type,Warranty Summary,Display Resolution Type,Display Supported Network,Processor Type,Series,Additional Features,Sim Size,Multi-touch,Sensors,ROM,Battery Capacity,Document Viewer,E-mail,Secondary Camera,Video Recording Resolution,Video Recording,Full HD Recording,HD Recording,Flash,Other Camera Features,2G,3G,Edge,GPRS,Bluetooth Version,USB,Browser,Headphone Jack,Wi-fi Version,Other Connectivity Features,Other Display Features,Display Type,Video Formats Supported,Full HD Playback,HD Playback,Video Playback,Audio Formats Supported,GPS Support,GPS Type,Map Support,Expandable Storage Capacity,Memory Card Slot Type,Memory Card Support,Warranty,Warranty Service Type,Domestic Warranty,Covered in Warranty,Not Covered in Warranty,Warranty Period,Supported Network,Battery Type,Touch Screen Type,Display PPI,Battery Features,RAM Type,Digital Zoom,MRP Price,Discount,Discounted_price,Brand
SM-T500NZDGINU/SM-T500NZDNINU,Galaxy Tab A7,Gold,Wi-Fi Only,Android,10,3 GB,No,26.42 cm (10.4 inch),"Tablet, Travel Adapter (White, 7.75W)ll Data Cable (USB Type C (1 m), White), SIM Ejector Pin, Quick Start Guide",2000 x 1200 Pixels,8 Megapixels,64 GB,2 GHz,No Sim,1 Year Warranty Provided by the Manufacturer from Date of Purchase,Full HD,Wi-Fi Only,,Tab A Series,"Quad Stereo Speakers with Dolby Atmos Surround Sound, 15W Fast Charging Support",NA,,"Accelerometer, Gyro Sensor, Geomagnetic Sensor, Hall Sensor, Light Sensor",32 GB,7040 mAh,Yes,Yes,5 Megapixels,1080 pixels,,,Yes,,Auto Focus Rear Camera,Yes,,Yes,Yes,v5.0,"Yes, USB 2.0 Type C",Android,,802.11a/b/g/n/ac (2.4 GHz|5 GHz),"Wi-Fi Direct, Auto Hotspot",WUXGA TFT Touch Display (80% Screen to Body Ratio),TFT,"MP4, M4V, 3GP, 3G2, WMV, ASF, AVI, FLV, MKV, WEBM",Yes,,Yes,"MP3, M4A, 3GA, AAC, OGG, OGA, WAV, WMA, AMR, AWB, FLAC, MID, MIDI, XMF, MXMF, IMY, RTTTL, RTX, OTA",Yes,"A-GPS, Glonass, Beidou, Galileo",Google Maps,1 TB,microSD,Yes,,Carry In,1 Year,Manufacturing Defects,Physical Damage,,,,,,,,,"6,529",No-discount,"6,529",SAMSUNG
K320,K320,Indigo,,,,4 GB,,16.59 cm (6.53 inch),,,13MP + 2MP,64 GB,,,12 Months on Smartphone and 6 Months On Accessories,,,,,,,,,,3600 mAh,,,8MP Front Camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedicated Slot,,,,,,,,,,,,,,,"37,900",,"37,825",IKall
MYLE2HN/A,iPad (8th Gen),Silver,Wi-Fi Only,iPadOS,iPadOS 14 brings new capabilities designed specifically for iPad,,No,25.91 cm (10.2 inch),"iPad, Lightning to USB Type C Cable, USB Type C Power Adapter",2160 x 1620 Pixels,"8MP back camera, 1.2MP FaceTime HD front camera megapixels",128 GB,,No Sim,1 Year Limited Hardware Warranty,Full HD,,A12 Bionic chip with Neural Engine,,"Stereo Speakers, Audio and Video Calling (FaceTime Video): iPad to Any FaceTime Enabled Device Over Wi-Fi or Cellular, Dual Microphones for Calls, Video Recording and Audio Recording, Digital Compass, iBeacon Micro Location, Accessibility Features: Voice Control, Magnifier, Closed Captions, VoiceOver, Siri and Dictation, AssistiveTouch, Zoom, Switch Control, Speak Screen",,Yes,"Touch ID, Three‐axis Gyro, Accelerometer, Barometer, Ambient Light Sensor",128 GB,,Yes,Yes,1.2 Megapixels,"720P, 1080P pixels",Yes,Yes,Yes,Retina Flash,"Rear Camera: 8 MP Rear Camera Setup, f/2/4 Aperture, Five Element Lens, Hybrid IR Flter, Backside Illumination, Live Photos, Autofocus, Panorama (Upto 43MP), HDR for Photos, Exposure Control, Burst Mode, Tap to Focus, Timer Mode, Auto Image Stabilisation, Body and Face Detection, Photo Geotagging, Video Recording: Time-lapse Video with Stabilisation, Video Image Stabilisation, Body and Face Detection, 3x Video Zoom, Video Geotagging, Front Camera: 1.2MP Selfie Camera, f/2.4 Aperture, Retina Flash, Backside Illumination, Live Photos, 720p HD Video Recording, HDR for Photos and Videos, Body and Face Detection, Burst Mode, Exposure Control, Timer Mode",No,No,,,v4.2,"Yes, Lightning Connector",Safari,,802.11a/b/g/n/ac,"Simultaneous Dual Band (2.4 GHz and 5 GHz) Support, HT80 with MIMO","Full HD+ LED Backlit Multi Touch IPS Display (500 nits Brightness, Fingerprint-resistant Oleophobic Coating, Supports Apple Pencil (1st Gen))",IPS,"Video Formats Supported: H.264 Video Upto 4K, 30 fps, High Profile Level 4.2 with AAC‑LC Audio Upto 160 Kbps, 48kHz, Stereo Audio or Dolby Audio Upto 1008 Kbps, 48kHz, Stereo or Multichannel Audio, in .m4v, .mp4 and .mov File Formats, MPEG‑4 Video Upto 2.5 Mbps, 640x480 Pixels, 30 fps, Simple Profile with AAC‑LC Audio Upto 160 Kbps Per Channel, 48kHz, Stereo Audio or Dolby Audio Upto 1008 Kbps, 48kHz, Stereo or Multichannel Audio, in .m4v, .mp4 and .mov File Formats, Motion JPEG (M‑JPEG) Upto 35 Mbps, 1280x720 Pixels, 30 fps, Audio in Ulaw, PCM Stereo Audio in .avi File Format",Yes,Yes,Yes,"Audio Formats Supported: AAC (8 to 320 Kbps), Protected AAC (from iTunes Store), HE-AAC, MP3 (8 to 320 Kbps), MP3 VBR, Dolby Digital (AC-3), Dolby Digital Plus (E-AC-3), Audible (Formats 2, 3, 4, Audible Enhanced Audio, AAX and AAX+), Apple Lossless, AIFF and WAV",No,,Maps,,,No,1 Year,Carry In,1 Year,Manufacturing Defects,Physical Damage,1 Year,,Lithium Polymer,,264 PPI,,,,"13,500",29%,"9,499",APPLE
ZA570193IN,M7,Black,Wi-Fi+4G,Android,9 Pie (Go Edition),2 GB,Yes,17.78 cm (7 inches),"Tablet, Travel Adapter, USB Cable, Quick Start Guide, Warranty Card",1024 x 600 Pixels,2 Megapixels,32 GB,1.3 GHz,Single Sim,1 Year Warranty,,"WLAN, Bluetooth, Wi-fi Direct, Wi-fi Display","MediaTek MT8765 (4 Cores, 4 x A53 at 1.3 GHz)",M7,,Nano SIM,5-Point Multi-Touch,Accelerometer (G) Sensor,32 GB,3500 mAH,Yes,Yes,2 Megapixels,,,,,,,,,,,v4.2,1 x Micro USB 2.0,Chrome,,11a/b/g/n (1x1),,,IPS Display,,,,,,,,,128 GB,MicroSD Card,Yes,,,1 Year,Device,,,4G LTE,,,,3500 mAH,LPDDR3,,"14,000",28%,"9,999",Lenovo
ZA5G0047IN / TB-8505F,Tab M8 (2nd Gen),Iron Grey,Wi-Fi Only,Android,9.0 (Pie),2 GB,No,20.32 cm (8 inch),"Tablet, Travel Adapter (5 V/1 A), Data Cable, Warranty Card, Quick Start Guide",1280 x 800 Pixels,8 Megapixels,32 GB,2 GHz,No Sim,"1 Year on Tablet, 6 Months on Accessories",HD,,MediaTek Helio A22 Quad Core (2.0 GHz),,Single Side Facing Speaker Tuned with Dolby Audio,,Yes,"Ambient Light Sensor, P Sensor, Accelerometer",32 GB,5000 mAh,Yes,Yes,2 Megapixels,,Yes,,Yes,,Fixed Focus Rear and Front Camera,No,No,,,v5.0,Micro USB 2.0,Android,3.5 mm,802.11 a/b/g/n/ac,"Bluetooth Support, 2.4 GHz and 5 GHz Dual Band Wireless Connectivity",HD LED Backlit Multi Touch Display,IPS,,,Yes,Yes,,Yes,A-GPS,Google Maps,,microSD,Yes,1 Year,Carry In,1 Year,Manufacturing Defects,Physical Damage,1 Year,,Lithium Polymer,Capacitive,,,,,"56,282",11%,"49,590",Lenovo
N5,N5,White,Wi-Fi+4G,Android,6.0 (Marshmallow),2 GB,Yes,17.78 cm (7 inch),"Tablet, Charger, Earphone, User Manual",1024 x 600 Pixels,5 Megapixels,16 GB,1 GHz,Dual Sim,1 Year Manufacturer Warranty,,GSM + LTE,,,,,,"Light Sensor, G sensor",16GB,3000 mAh,,Yes,2 Megapixels,,,,,,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,32 GB,,Yes,,Customer can visit nearby service center or can call at: 0120-4731048,1 Year,,,,"GSM, WCDMA",Li-Ion,,,,,,"7,999",27%,"5,799",I kall
14-dw1036TU,,Natural Silver,,,,8 GB,,,"2 in 1 Laptop, Power Adaptor, User Guide, Warranty Documents",,,,,,1 Year Onsite Warranty,,,,Pavilion x360,"43 WHr Li-ion Battery, MU-MIMO Supported, Miracast Compatible",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Onsite,1 Year,Manufacturing Defects,Physical Damage,,,,,,,DDR4,,"24,844",11%,"21,990",HP
11a-na0004MU,,Ash Grey,,,,4 GB,,,"Laptop, Power Adaptor, User Guide, Warranty Documents",,,,,,1 Year Onsite Warranty,,,,Chromebook,"37 Wh Li-ion Polymer, H1 Secure Microcontroller, 100 GB Google One (1-year Subscription Included), Google Assistant (Hands Free Virtual Assistant), Google Play Store with Millions of Android Apps",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Onsite,1 Year,Manufacturing Defects,Physical Damage,,,,,,,LPDDR4X,,"37,900",No-discount,"37,900",HP
MYLF2HN/A,iPad (8th Gen),Gold,Wi-Fi Only,iPadOS,iPadOS 14 brings new capabilities designed specifically for iPad,,No,25.91 cm (10.2 inch),"iPad, Lightning to USB Type C Cable, USB Type C Power Adapter",2160 x 1620 Pixels,"8MP back camera, 1.2MP FaceTime HD front camera megapixels",128 GB,,No Sim,1 Year Limited Hardware Warranty,Full HD,,A12 Bionic chip with Neural Engine,,"Stereo Speakers, Audio and Video Calling (FaceTime Video): iPad to Any FaceTime Enabled Device Over Wi-Fi or Cellular, Dual Microphones for Calls, Video Recording and Audio Recording, Digital Compass, iBeacon Micro Location, Accessibility Features: Voice Control, Magnifier, Closed Captions, VoiceOver, Siri and Dictation, AssistiveTouch, Zoom, Switch Control, Speak Screen",,Yes,"Touch ID, Three‐axis Gyro, Accelerometer, Barometer, Ambient Light Sensor",128 GB,,Yes,Yes,1.2 Megapixels,"720P, 1080P pixels",Yes,Yes,Yes,Retina Flash,"Rear Camera: 8 MP Rear Camera Setup, f/2/4 Aperture, Five Element Lens, Hybrid IR Flter, Backside Illumination, Live Photos, Autofocus, Panorama (Upto 43MP), HDR for Photos, Exposure Control, Burst Mode, Tap to Focus, Timer Mode, Auto Image Stabilisation, Body and Face Detection, Photo Geotagging, Video Recording: Time-lapse Video with Stabilisation, Video Image Stabilisation, Body and Face Detection, 3x Video Zoom, Video Geotagging, Front Camera: 1.2MP Selfie Camera, f/2.4 Aperture, Retina Flash, Backside Illumination, Live Photos, 720p HD Video Recording, HDR for Photos and Videos, Body and Face Detection, Burst Mode, Exposure Control, Timer Mode",No,No,,,v4.2,"Yes, Lightning Connector",Safari,,802.11a/b/g/n/ac,"Simultaneous Dual Band (2.4 GHz and 5 GHz) Support, HT80 with MIMO","Full HD+ LED Backlit Multi Touch IPS Display (500 nits Brightness, Fingerprint-resistant Oleophobic Coating, Supports Apple Pencil (1st Gen))",IPS,"Video Formats Supported: H.264 Video Upto 4K, 30 fps, High Profile Level 4.2 with AAC‑LC Audio Upto 160 Kbps, 48kHz, Stereo Audio or Dolby Audio Upto 1008 Kbps, 48kHz, Stereo or Multichannel Audio, in .m4v, .mp4 and .mov File Formats, MPEG‑4 Video Upto 2.5 Mbps, 640x480 Pixels, 30 fps, Simple Profile with AAC‑LC Audio Upto 160 Kbps Per Channel, 48kHz, Stereo Audio or Dolby Audio Upto 1008 Kbps, 48kHz, Stereo or Multichannel Audio, in .m4v, .mp4 and .mov File Formats, Motion JPEG (M‑JPEG) Upto 35 Mbps, 1280x720 Pixels, 30 fps, Audio in Ulaw, PCM Stereo Audio in .avi File Format",Yes,Yes,Yes,"Audio Formats Supported: AAC (8 to 320 Kbps), Protected AAC (from iTunes Store), HE-AAC, MP3 (8 to 320 Kbps), MP3 VBR, Dolby Digital (AC-3), Dolby Digital Plus (E-AC-3), Audible (Formats 2, 3, 4, Audible Enhanced Audio, AAX and AAX+), Apple Lossless, AIFF and WAV",No,,Maps,,,No,1 Year,Carry In,1 Year,Manufacturing Defects,Physical Damage,1 Year,,Lithium Polymer,,264 PPI,,,,"37,900",,"37,867",APPLE
A2,A2,Blue::Black,,,,2 GB,,12.7 cm (5 inch),,,8MP + 8MP,16 GB,,,"Six month warranty other than breakage. Customer need to send the product to nearest service center , in case, there is no service center nearby the product should be send to company back for repair.",,,Mediatek,2021 A2,,,,"G-Sensor, Light Sensor, Finger Print Sensor, Ambient light sensor, Gyroscope, Proximity sensor",,2800 mAh,,,2MP Front Camera,,Yes,No,Yes,Yes,,,Yes,,Yes,2.0,,Chrome,,,,,IPS,,,,,,Yes,,Google,,Dedicated Slot,,,Domestic,6 Months,Mobile,Accessories,,,Li-ion,,,,,No,"3,990",No-discount,"3,990",Spinup
